"Animal Crossing: New Horizons","Survival, Role-playing","Nintendo Switch","acnh.png"
"The Legend of Zelda: Tears of the Kingdom","Role-playing, Action","Nintendo Switch","totk.png"
"Hollow Knight","Metroidvania","PC, Xbox One, Playstation 4, Nintendo Switch","hk.png"
"Outer Wilds","Adventure","PC, Xbox One, Playstation 4, Nintendo Switch","ow.png"
